START SCRAPING REVIEWS,https://www.amazon.com/Stacy-Adams-Mens-Felt-Fedora/product-reviews/B00AKB7HSM/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1
 Large, Gray,"Reviewed in the United States on May 31, 2020"
 Large, Black,"Reviewed in the United States on April 6, 2020"
 XX-Large, Gray,"Reviewed in the United States on February 11, 2020"
 X-Large, Chocolate,"Reviewed in the United States on January 26, 2020"
 Medium, Ivory,"Reviewed in the United States on December 27, 2019"
 XX-Large, Gray,"Reviewed in the United States on November 26, 2019"
 XX-Large, Gray,"Reviewed in the United States on July 22, 2019"
 XX-Large, Gray,"Reviewed in the United States on July 5, 2019"
 Medium, Navy,"Reviewed in the United States on April 8, 2019"
 X-Large, Black,"Reviewed in the United States on February 19, 2019"
 Medium, Black,"Reviewed in the United States on February 3, 2019"
 X-Large, Gray,"Reviewed in the United States on January 21, 2019"
 X-Large, Gray,"Reviewed in the United States on January 13, 2019"
 XX-Large, Gray,"Reviewed in the United States on December 10, 2018"
 Medium, Ivory,"Reviewed in the United States on November 8, 2018"
 X-Large, Gray,"Reviewed in the United States on August 8, 2018"
 XX-Large, Gray,"Reviewed in the United States on June 21, 2018"
 Large, Black,"Reviewed in the United States on June 18, 2018"
 Medium, Ivory,"Reviewed in the United States on June 7, 2018"
 XX-Large, Black,"Reviewed in the United States on March 28, 2018"
 Large, Black,"Reviewed in the United States on February 1, 2018"
 XX-Large, Black,"Reviewed in the United States on December 3, 2017"
 X-Large, Navy,"Reviewed in the United States on November 16, 2017"
 X-Large, Black,"Reviewed in the United States on October 28, 2017"
 Medium, Ivory,"Reviewed in the United States on October 28, 2017"
 X-Large, Chocolate,"Reviewed in the United States on October 18, 2017"
 Large, Black,"Reviewed in the United States on September 8, 2017"
 Medium, Chocolate,"Reviewed in the United States on August 17, 2017"
 Medium, Ivory,"Reviewed in the United States on August 8, 2017"
 X-Large, Gray,"Reviewed in the United States on August 6, 2017"
 XX-Large, Black,"Reviewed in the United States on May 26, 2017"
 Medium, Ivory,"Reviewed in the United States on March 24, 2017"
 X-Large, Navy,"Reviewed in the United States on February 20, 2017"
 X-Large, Gray,"Reviewed in the United States on February 5, 2017"
 Large, Black,"Reviewed in the United States on February 1, 2017"
 Large, Black,"Reviewed in the United States on January 23, 2017"
 X-Large, Navy,"Reviewed in the United States on January 17, 2017"
 X-Large, Black,"Reviewed in the United States on January 6, 2017"
 Large, Black,"Reviewed in the United States on January 3, 2017"
 Large, Black,"Reviewed in the United States on December 31, 2016"
 X-Large, Black,"Reviewed in the United States on December 28, 2016"
 Large, Gray,"Reviewed in the United States on December 26, 2016"
 XX-Large, Black,"Reviewed in the United States on December 23, 2016"
 Large, Black,"Reviewed in the United States on December 6, 2016"
 Large, Black,"Reviewed in the United States on December 1, 2016"
 X-Large, Black,"Reviewed in the United States on November 27, 2016"
 Large, Black,"Reviewed in the United States on November 23, 2016"
 X-Large, Navy,"Reviewed in the United States on November 22, 2016"
 X-Large, Chocolate,"Reviewed in the United States on November 6, 2016"
 Large, Navy,"Reviewed in the United States on November 2, 2016"
 X-Large, Black,"Reviewed in the United States on October 31, 2016"
 Medium, Black,"Reviewed in the United States on October 19, 2016"
 X-Large, Gray,"Reviewed in the United States on October 16, 2016"
 X-Large, Black,"Reviewed in the United States on October 10, 2016"
 Medium, Ivory,"Reviewed in the United States on October 8, 2016"
 Medium, Chocolate,"Reviewed in the United States on September 27, 2016"
 Large, Black,"Reviewed in the United States on September 20, 2016"
 Medium, Chocolate,"Reviewed in the United States on September 5, 2016"
 Large, Gray,"Reviewed in the United States on September 2, 2016"
 X-Large, Chocolate,"Reviewed in the United States on August 29, 2016"
 Medium, Chocolate,"Reviewed in the United States on August 2, 2016"
 X-Large, Black,"Reviewed in the United States on July 26, 2016"
 Large, Black,"Reviewed in the United States on July 25, 2016"
 Medium, Chocolate,"Reviewed in the United States on July 16, 2016"
 Medium, Chocolate,"Reviewed in the United States on June 2, 2016"
 Large, Black,"Reviewed in the United States on May 25, 2016"
 XX-Large, Black,"Reviewed in the United States on May 9, 2016"
 XX-Large, Gray,"Reviewed in the United States on May 9, 2016"
 X-Large, Gray,"Reviewed in the United States on April 23, 2016"
 X-Large, Black,"Reviewed in the United States on March 22, 2016"
 XX-Large, Black,"Reviewed in the United States on March 22, 2016"
 X-Large, Chocolate,"Reviewed in the United States on March 18, 2016"
 X-Large, Black,"Reviewed in the United States on March 15, 2016"
 Large, Navy,"Reviewed in the United States on February 24, 2016"
 Large, Black,"Reviewed in the United States on February 21, 2016"
 Medium, Black,"Reviewed in the United States on February 18, 2016"
 Large, Black,"Reviewed in the United States on February 11, 2016"
 X-Large, Gray,"Reviewed in the United States on January 15, 2016"
 XX-Large, Black,"Reviewed in the United States on December 5, 2015"
 Medium, Black,"Reviewed in the United States on December 2, 2015"
 X-Large, Black,"Reviewed in the United States on November 23, 2015"
 Medium, Navy,"Reviewed in the United States on November 16, 2015"
 Medium, Chocolate,"Reviewed in the United States on November 16, 2015"
 Medium, Black,"Reviewed in the United States on November 15, 2015"
 Large, Black,"Reviewed in the United States on November 9, 2015"
 XX-Large, Gray,"Reviewed in the United States on November 7, 2015"
 Large, Black,"Reviewed in the United States on October 27, 2015"
 Large, Black,"Reviewed in the United States on October 26, 2015"
 XX-Large, Black,"Reviewed in the United States on October 21, 2015"
 X-Large, Gray,"Reviewed in the United States on September 15, 2015"
 X-Large, Gray,"Reviewed in the United States on September 11, 2015"
 Large, Gray,"Reviewed in the United States on September 8, 2015"
 X-Large, Gray,"Reviewed in the United States on September 5, 2015"
 Large, Black,"Reviewed in the United States on August 29, 2015"
 X-Large, Black,"Reviewed in the United States on August 27, 2015"
 X-Large, Gray,"Reviewed in the United States on August 10, 2015"
 X-Large, Black,"Reviewed in the United States on July 16, 2015"
 X-Large, Black,"Reviewed in the United States on July 14, 2015"
 X-Large, Black,"Reviewed in the United States on July 7, 2015"
 X-Large, Black,"Reviewed in the United States on July 4, 2015"
 X-Large, Black,"Reviewed in the United States on June 24, 2015"
 X-Large, Gray,"Reviewed in the United States on June 17, 2015"
 X-Large, Gray,"Reviewed in the United States on June 16, 2015"
 Medium, Black,"Reviewed in the United States on June 14, 2015"
 X-Large, Chocolate,"Reviewed in the United States on June 13, 2015"
 Medium, Chocolate,"Reviewed in the United States on June 8, 2015"
 X-Large, Gray,"Reviewed in the United States on May 29, 2015"
 Medium, Chocolate,"Reviewed in the United States on May 29, 2015"
 XX-Large, Gray,"Reviewed in the United States on May 14, 2015"
 X-Large, Gray,"Reviewed in the United States on May 11, 2015"
 Large, Black,"Reviewed in the United States on May 8, 2015"
 Medium, Chocolate,"Reviewed in the United States on May 5, 2015"
 X-Large, Chocolate,"Reviewed in the United States on May 4, 2015"
 X-Large, Chocolate,"Reviewed in the United States on May 4, 2015"
 XX-Large, Black,"Reviewed in the United States on May 1, 2015"
 X-Large, Black,"Reviewed in the United States on April 30, 2015"
 Large, Black,"Reviewed in the United States on April 28, 2015"
 XX-Large, Gray,"Reviewed in the United States on April 19, 2015"
COMPLETE SCRAPING REVIEWS,https://www.amazon.com/Stacy-Adams-Mens-Felt-Fedora/product-reviews/B00AKB7HSM/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1
